FILE_NAME:,
name=,core-3320220628043754.csv,
BASIC_SAVEFILE_INFO:,
,core_save_id,core_aim,core_no,year,month,day,hour,minute,sec,
core_save_id,3320220628043754,3,3,2022,06,28,04,37,54,
BASIC_NETWORK_INFO:,net_info_category,no_of_input_neuron,no_of_output_neuron,
,net_info_category,27,2,
DATA_LABEL_AND_OUTPUT_NEURON_INDEX:,
[data_label~output_neuron_index],100~0,200~1,
PATH_INFO:,
no_of_path=,154,
path_id,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,input_neuron_id,output_neuron_id
0,7.09144,1.57104,2.15746,6.89027,0.209492,2.55506,3.55527,16.1166,-1.29246,11.9156,35.3599,-7.48511,-7.18134,-0.58377,10.2992,-2.90111,5.8022,7.86179,-11.0339,-15.0924,-21.3701,-20.5708,19.9992,-5.37518,6.66128,-3.3699,-9.1814,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
1,-2.58669,-0.537338,0.600358,-1.07183,2.03929,0.279313,0.202317,-1.37185,0.199237,0.688793,-0.0898837,1.68657,0.996736,-0.264005,0.584029,-0.41628,0.113769,-0.328859,0.974534,-0.397699,1.32243,1.36198,-3.05262,2.25448,-0.348128,0.479495,-0.430289,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
2,-11.231,-0.701343,-3.93902,2.61088,7.14135,-0.380072,-4.69204,0.315707,-2.08491,-1.23516,-3.0812,-1.65317,2.62312,3.83394,-2.5171,0.392125,-2.60683,5.64011,10.5512,-4.15387,-4.76411,2.17177,-8.35241,-0.339736,5.22191,-6.29158,1.70544,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
3,393.935,40.556,92.1472,65.4898,-155.189,-35.2388,13.1967,-120.923,46.8713,-18.6346,-14.7918,-13.1778,-73.1366,54.032,-3.12697,-2.63419,-37.8199,22.795,6.61911,-5.34429,69.1497,5.34481,139.648,-126.564,52.7634,-68.0257,11.758,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
4,53.5122,-1.65758,7.26796,-22.223,-50.9939,28.9568,45.9176,2.85069,13.6985,-2.31096,66.884,38.219,-9.78083,-17.2896,-0.508295,18.9792,-43.6205,34.4904,-21.3073,-42.0412,-25.4159,-11.9808,-7.22415,12.3381,-9.82128,-12.2784,14.1635,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
5,-0.277573,2.84628,-5.90853,-6.44223,2.81941,5.84048,-1.64756,-0.765847,8.59146,-0.925452,-7.38108,3.28284,-1.11823,-0.242124,-10.4207,3.32485,0.597175,1.33939,-8.23282,-2.78569,-0.735286,0.329483,23.3308,-30.1242,1.26484,-5.28569,2.79383,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
6,1.32234,2.58883,-2.34615,1.49976,-1.72015,-0.333197,-1.60871,-6.97868,2.39202,-6.74486,1.82795,7.76867,0.769763,-11.6908,-5.72731,0.150296,0.131744,-1.00789,-2.22567,4.70529,-4.96608,-16.9067,17.8705,-3.84016,-5.88595,-4.14428,3.93068,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
7,-0.476445,-0.477633,0.000470262,-0.789155,0.166871,-0.499176,0.0212339,-0.533825,-1.06619,0.872439,-2.17291,-1.39886,0.56773,-1.22923,-0.211799,0.649275,-0.511322,-2.05507,0.0572515,0.190428,0.395569,-0.112882,-1.88021,1.16407,0,0,0,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
8,-1.20079,-5.01985,-4.56973,-4.48486,-3.03943,0.659872,-1.56063,-6.90683,0.280783,-1.17423,-24.082,0.861941,-0.63923,3.91688,-6.66215,-2.74289,5.69001,5.0015,-1.9961,-0.853311,11.0904,12.3665,-14.9718,3.1296,-1.20027,-2.31403,-0.746989,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
9,-93.9527,-23.916,-26.3954,20.5894,172.002,7.22938,-26.2268,30.967,-67.6897,-41.1891,-21.0543,-152.368,-13.6014,38.3109,-80.2791,35.7675,-22.0616,102.239,-4.71621,-37.073,-71.5341,238.269,-24.2039,-238.359,78.193,-97.6213,-2.95557,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
10,42.5616,24.1202,26.4072,10.378,-58.5898,-58.0756,-0.530343,-45.2727,-43.2795,-26.5153,-14.9435,-35.7006,5.88938,-12.4811,-8.11642,9.95502,4.54712,-32.9007,16.9502,67.3809,-4.54082,21.6581,-97.345,61.1468,16.3322,-19.0189,7.86989,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
