FILE_NAME:,
name=,core-0020220628043754.csv,
BASIC_SAVEFILE_INFO:,
,core_save_id,core_aim,core_no,year,month,day,hour,minute,sec,
core_save_id,0020220628043754,0,0,2022,06,28,04,37,54,
BASIC_NETWORK_INFO:,net_info_category,no_of_input_neuron,no_of_output_neuron,
,net_info_category,27,2,
DATA_LABEL_AND_OUTPUT_NEURON_INDEX:,
[data_label~output_neuron_index],100~0,200~1,
PATH_INFO:,
no_of_path=,171,
path_id,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,input_neuron_id,output_neuron_id
0,-3.47835,-0.608565,-0.807698,0.0900424,-0.760764,-0.357358,-2.78851,-1.85446,-2.5952,2.44675,-0.0535744,-1.06889,-0.271756,-1.95826,3.0357,-0.936895,0.385206,-1.03586,0.7118,-0.313774,1.06543,4.97161,-0.172177,-0.0630929,-0.018529,-0.665543,-0.152511,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
1,-48.3297,-3.87812,58.9949,63.0976,-224.105,-0.000734982,89.1722,18.1707,35.7989,113.091,-133.457,-19.0891,-60.2455,-116.353,264.925,5.08777,-67.9295,76.9236,-71.7902,-15.8884,97.5789,-168.815,123.879,12.1269,-23.4764,53.4366,-41.8198,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
2,0.693979,-0.0872397,0.59607,1.04689,0.0547557,0.271964,-1.43953,-0.655372,-1.61853,0.269678,1.2646,0.396537,-1.54262,0.717759,-0.861789,-0.258797,1.14281,-0.54526,-1.21741,0.818186,-1.08175,0.594509,1.85293,-0.051105,0,0,0,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
3,-0.240215,-1.17395,-1.08468,0.229874,-0.212147,0.435362,-1.7373,-0.800355,2.81958,-0.167245,1.18435,2.70881,-1.01018,-2.55421,2.10265,0.956099,-0.568464,-1.43757,-2.21582,0.407172,-1.58025,-2.96232,0.432457,0.0231292,0,0,0,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
4,22.7437,-4.65407,-14.371,38.3189,-5.6286,2.20702,-19.0264,38.315,26.8401,10.72,-5.83637,5.22361,-20.1736,23.3387,-33.864,10.0342,-7.90953,-18.94,-5.38006,29.8727,6.07682,-10.7908,-29.3966,0.566078,-6.2736,21.744,5.88779,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
5,-3.50534,-1.00758,-6.61546,2.87799,-2.03615,-1.60372,-1.40739,9.67492,-7.94513,4.39785,-4.69741,-12.611,7.50849,6.26696,-10.7666,2.52516,-1.76111,-7.95847,8.31893,8.09929,2.60599,10.0035,-5.36058,-11.575,6.83284,3.37439,-1.37302,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
6,-0.062917,-0.0324922,-3.38014,-0.668048,0.0917882,-0.151443,9.35873,6.63322,1.70874,-2.88888,-5.14581,-5.07121,3.90586,5.4204,-5.92174,3.65474,0.33686,-1.89013,0.673044,3.55495,5.85508,-18.5231,-0.980723,-2.83859,-0.955279,2.82709,-0.869253,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
7,2.06857,0.649918,-1.2534,0.794859,-0.0892804,-1.1794,-2.06266,1.4857,-1.93626,-0.615594,0.304858,-1.03434,0.683757,-2.96651,2.13687,0.0399962,1.18736,-0.571532,0.829959,0.970491,0.745208,1.81171,-0.780163,-0.370855,1.05943,2.16608,-0.0251177,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
8,16.6607,1.43029,6.37535,-1.33285,-1.24848,-0.243785,-11.07,-1.0993,-17.8689,-24.9845,-4.13592,3.05664,17.8656,-5.30729,-6.07821,1.56688,0.235633,4.7041,2.6866,2.44125,14.5467,28.1002,-19.5888,0.320108,-0.279878,1.57693,5.4509,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
9,-590.48,-105.514,-20.2546,-252.16,-80.3565,87.3774,-266.273,-102.969,106.995,366.159,244.625,53.1478,-358.043,-85.8036,276.778,-241.188,62.9984,-223.665,-11.6484,-149.225,222.797,-277.923,-72.004,81.1104,-143.769,458.346,-129.064,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
10,6.42289,2.05309,-11.1776,3.69191,3.63005,5.54722,41.4535,6.20632,15.705,24.0622,-19.0636,-22.1547,-7.18337,10.4008,10.0658,1.19114,-17.6946,-7.29941,22.6924,5.96771,9.20358,-36.8829,5.49661,-16.1982,4.14861,-6.84902,-10.8673,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
11,0.310828,-20.6816,12.4012,3.03213,-1.1286,-3.80036,-12.2299,2.97314,-9.25361,-3.00201,-2.89859,6.16193,-2.97166,14.2737,-20.4599,8.22564,3.7874,-5.65264,1.09689,3.78547,13.4096,7.54984,-21.555,5.36456,-9.58066,14.8615,4.92605,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
12,-1.49745,-3.91666,-2.16312,-3.00905,-4.36744,0.642522,-42.7059,-2.24431,-32.7912,4.79202,4.67654,-10.8409,-3.52184,-30.567,26.3973,-5.97201,10.9135,7.26884,15.3961,-2.00564,25.463,48.8624,-29.3345,6.03954,-4.30212,26.3771,18.2762,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
13,-165.485,-136.531,455.842,-277.458,-12.3462,-98.223,-144.792,-189.835,-167.506,193.859,135.482,382.488,-184.534,271.271,332.109,-399.62,277.29,-271.384,-797.703,-253.543,304.494,224.767,359.677,83.9121,-118.433,-167.773,-263.286,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
14,-20.2885,-3.01069,2.94761,-2.31802,-7.79137,0.87015,-6.48242,-0.746018,-1.22436,1.19926,0.166416,3.13331,-1.25395,-0.44818,-2.94397,-0.62504,4.3761,-0.196494,-0.0524377,-4.49456,-4.63565,2.08699,-0.993607,-5.15801,3.07701,5.96098,-3.53445,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
15,-60.2087,-58.2218,155.632,-3.03999,-251.388,-56.6415,102.311,128.881,-153.537,29.8365,-90.081,-38.1638,-25.0161,311.941,-311.301,74.7126,75.3925,169.364,-74.5038,-3.11576,-6.79766,165.995,157.662,87.2261,-40.9507,-11.9987,-29.0617,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
16,-6.32641,-5.14165,-2.14796,-1.38987,6.16274,-5.33295,3.31814,-4.72184,5.0322,9.95503,-3.16335,6.98757,-5.70196,11.9728,-22.0418,2.21373,-2.15201,9.08595,5.93317,-2.58976,-13.8465,-7.67053,-1.84325,-0.357795,-7.12746,-3.08728,2.5471,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
